consult,llm,asr,env,snr,n_om,n_com,N1,N2,N3,N4,S,tot
day1_consultation01,openai_gpt-5.2,deepgram-nova3,clean,clean,3,0,0,1,1,1,6,3
day1_consultation07,anthropic_claude-sonnet-4.6,whisper-large-v3-turbo,clean,clean,4,6,0,1,7,2,19,10
day2_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,clean,clean,2,0,0,0,1,1,3,2
day1_consultation07,openai_gpt-5.2,omniasr-llm-7b-v2,clean,clean,3,0,0,1,1,1,6,3
day2_consultation07,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,6,4,0,1,5,4,17,10
day2_consultation10,google_gemini-3.1-pro-preview,assemblyai-universal2,clean,clean,33,0,0,5,15,13,58,33
day2_consultation07,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,7,1,0,0,3,5,11,8
day1_consultation15,anthropic_claude-sonnet-4.6,elevenlabs-scribe,clean,clean,4,3,0,3,1,3,14,7
day1_consultation01,openai_gpt-5.2,whisper-large-v3-turbo,clean,clean,1,0,0,1,0,0,3,1
day1_consultation01,anthropic_claude-sonnet-4.6,assemblyai-universal2,clean,clean,3,1,0,1,1,2,7,4
day1_consultation07,openai_gpt-5.2,assemblyai-universal2,clean,clean,2,4,0,1,2,3,10,6
day3_consultation04,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,4,4,0,2,3,3,15,8
day1_consultation07,anthropic_claude-sonnet-4.6,assemblyai-universal2,clean,clean,2,1,0,1,1,1,6,3
day1_consultation02,openai_gpt-5.2,cohere-transcribe-03-2026,clean,clean,2,0,0,0,1,1,3,2
day3_consultation04,openai_gpt-5.2,elevenlabs-scribe,clean,clean,4,0,0,0,2,2,6,4
day1_consultation05,anthropic_claude-sonnet-4.6,assemblyai-universal2,clean,clean,1,0,0,0,0,1,1,1
day3_consultation06,anthropic_claude-sonnet-4.6,granite-speech-3.3-2b,clean,clean,2,2,0,0,1,3,5,4
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,clean,clean,4,1,0,0,1,4,6,5
day3_consultation04,google_gemini-3.1-pro-preview,deepgram-nova3,clean,clean,4,0,0,0,2,2,6,4
day1_consultation05,google_gemini-3.1-pro-preview,deepgram-nova3,clean,clean,3,0,0,0,2,1,5,3
day1_consultation05,google_gemini-3.1-pro-preview,whisper-large-v3-turbo,clean,clean,4,0,0,0,3,1,7,4
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,clean,clean,4,1,0,1,2,2,9,5
day1_consultation15,openai_gpt-5.2,elevenlabs-scribe,clean,clean,7,0,0,0,3,4,10,7
day1_consultation07,google_gemini-3.1-pro-preview,assemblyai-universal2,clean,clean,3,3,0,1,4,1,12,6
day3_consultation06,anthropic_claude-sonnet-4.6,parakeet-tdt-0.6b-v3,clean,clean,1,6,0,1,3,3,12,7
day2_consultation06,openai_gpt-5.2,parakeet-tdt-0.6b-v3,clean,clean,4,0,0,0,4,0,8,4
day1_consultation05,openai_gpt-5.2,granite-speech-3.3-2b,clean,clean,2,1,0,0,2,1,5,3
day2_consultation06,openai_gpt-5.2,canary-qwen-2.5b,clean,clean,4,0,0,0,3,1,7,4
day3_consultation06,openai_gpt-5.2,elevenlabs-scribe,clean,clean,0,1,0,0,0,1,1,1
day1_consultation05,anthropic_claude-sonnet-4.6,canary-qwen-2.5b,clean,clean,2,1,0,0,2,1,5,3
day3_consultation04,anthropic_claude-sonnet-4.6,canary-qwen-2.5b,clean,clean,1,2,0,0,2,1,5,3
day3_consultation04,google_gemini-3.1-pro-preview,granite-speech-3.3-2b,clean,clean,9,0,0,1,3,5,14,9
day1_consultation02,anthropic_claude-sonnet-4.6,omniasr-llm-7b-v2,clean,clean,2,1,0,0,1,2,4,3
day3_consultation06,openai_gpt-5.2,deepgram-nova3,clean,clean,1,0,0,0,0,1,1,1
